training on [gpu(0)]
epoch 1, loss 0.6060, train acc 0.609, test acc 0.672, time 46.2 sec
epoch 2, loss 0.5705, train acc 0.738, test acc 0.771, time 32.7 sec
epoch 3, loss 0.5503, train acc 0.781, test acc 0.787, time 32.8 sec
epoch 4, loss 0.5324, train acc 0.791, test acc 0.791, time 32.8 sec
epoch 5, loss 0.5169, train acc 0.794, test acc 0.792, time 33.0 sec
epoch 6, loss 0.5049, train acc 0.794, test acc 0.794, time 33.1 sec
epoch 7, loss 0.4944, train acc 0.795, test acc 0.793, time 33.5 sec
epoch 8, loss 0.4829, train acc 0.797, test acc 0.795, time 33.1 sec
epoch 9, loss 0.4709, train acc 0.800, test acc 0.768, time 33.1 sec
epoch 10, loss 0.4570, train acc 0.803, test acc 0.806, time 33.0 sec
epoch 11, loss 0.4466, train acc 0.807, test acc 0.805, time 33.4 sec
epoch 12, loss 0.4482, train acc 0.806, test acc 0.813, time 33.7 sec
epoch 13, loss 0.4401, train acc 0.811, test acc 0.819, time 33.5 sec
epoch 14, loss 0.4256, train acc 0.816, test acc 0.825, time 33.3 sec
epoch 15, loss 0.4165, train acc 0.819, test acc 0.830, time 33.3 sec
epoch 16, loss 0.4221, train acc 0.818, test acc 0.827, time 33.5 sec
epoch 17, loss 0.4105, train acc 0.822, test acc 0.833, time 33.4 sec
epoch 18, loss 0.4154, train acc 0.822, test acc 0.828, time 33.6 sec
epoch 19, loss 0.3890, train acc 0.832, test acc 0.838, time 33.5 sec
epoch 20, loss 0.3830, train acc 0.835, test acc 0.835, time 33.3 sec
epoch 21, loss 0.3757, train acc 0.839, test acc 0.847, time 33.7 sec
epoch 22, loss 0.3758, train acc 0.839, test acc 0.841, time 33.2 sec
epoch 23, loss 0.3613, train acc 0.846, test acc 0.852, time 33.2 sec
epoch 24, loss 0.3635, train acc 0.846, test acc 0.840, time 33.4 sec
epoch 25, loss 0.3580, train acc 0.849, test acc 0.824, time 33.6 sec
epoch 26, loss 0.3706, train acc 0.846, test acc 0.857, time 33.4 sec
epoch 27, loss 0.3567, train acc 0.851, test acc 0.852, time 33.4 sec
epoch 28, loss 0.3390, train acc 0.859, test acc 0.850, time 33.3 sec
epoch 29, loss 0.3444, train acc 0.857, test acc 0.865, time 33.6 sec
epoch 30, loss 0.3393, train acc 0.860, test acc 0.865, time 33.4 sec
epoch 31, loss 0.3409, train acc 0.859, test acc 0.872, time 33.3 sec
epoch 32, loss 0.3346, train acc 0.861, test acc 0.874, time 33.3 sec
epoch 33, loss 0.3182, train acc 0.869, test acc 0.865, time 33.7 sec
epoch 34, loss 0.3261, train acc 0.867, test acc 0.879, time 33.7 sec
epoch 35, loss 0.3122, train acc 0.873, test acc 0.841, time 33.6 sec
epoch 36, loss 0.3154, train acc 0.872, test acc 0.879, time 33.7 sec
epoch 37, loss 0.3104, train acc 0.875, test acc 0.853, time 33.3 sec
